问题,指标,数值
problem1,total_purchase_kwh,59482.69899835391
problem1,total_cost_yuan,35126.948589289634
problem1,charge_kwh,20740.66613168725
problem1,discharge_kwh,16799.939566666668
problem1,pv_consumed_kwh,55482.835666666666
problem1,pv_curtailed_kwh,0.0
problem1,specified_interval_purchase_kwh.10:00-10:10,0.0
problem1,specified_interval_purchase_kwh.12:00-12:10,480.4124499999999
problem1,specified_interval_purchase_kwh.14:00-14:10,0.0
problem1,specified_interval_purchase_kwh.16:00-16:10,445.4316500000001
problem1,specified_interval_purchase_kwh.18:00-18:10,531.8940499999999
problem1,specified_interval_purchase_kwh.20:00-20:10,0.0
problem2,plan_purchase_kwh,23487011.887229472
problem2,emergency_purchase_kwh,340789.536019954
problem2,total_physical_grid_purchase_kwh,23827801.423249427
problem2,normal_cost_yuan,14497122.037546787
problem2,emergency_cost_yuan,2092975.5004497431
problem2,total_cost_yuan,16590097.537996529
problem2,forecast_mae_kwh_per_interval,106.2582660963956
problem2,forecast_rmse_kwh_per_interval,152.98822227628622
problem2,charge_kwh,6013092.10792744
problem2,discharge_kwh,4870604.607421228
problem2,pv_consumed_kwh,15909246.377636423
problem2,pv_curtailed_kwh,3159643.6166469078
problem2,spilled_energy_kwh,4746124.427776546
problem2,emergency_days,108
problem2,max_emergency_interval_kwh,966.5777260714284
problem2,emergency_share_of_grid_purchase,0.014302181303535479
problem2,soc_min_kwh,1200.0
problem2,soc_max_kwh,10800.0
problem2,initial_soc_2025_01_01_kwh,6000.0
problem2,final_soc_2025_12_31_kwh,10800.0
problem2,leakage_detected,False
problem2,mean_strategy.plan_purchase_kwh,19632528.60146378
problem2,mean_strategy.emergency_purchase_kwh,1756175.4131780842
problem2,mean_strategy.total_physical_grid_purchase_kwh,21388704.014641862
problem2,mean_strategy.normal_cost_yuan,11835733.790550552
problem2,mean_strategy.emergency_cost_yuan,10676389.331376705
problem2,mean_strategy.total_cost_yuan,22512123.121927254
problem2,mean_strategy.forecast_mae_kwh_per_interval,89.27653260488323
problem2,mean_strategy.forecast_rmse_kwh_per_interval,122.08906892163951
problem2,selected_alpha_counts.0.60,0
problem2,selected_alpha_counts.0.65,2
problem2,selected_alpha_counts.0.70,27
problem2,selected_alpha_counts.0.75,33
problem2,selected_alpha_counts.0.80,161
problem2,selected_alpha_counts.0.85,90
problem2,selected_alpha_counts.0.90,21
problem2,selected_alpha_counts.0.95,0
problem2,key_dates.2025-03-20.specified_plan_kwh.10:00-10:10,0.0
problem2,key_dates.2025-03-20.specified_plan_kwh.12:00-12:10,595.701504722222
problem2,key_dates.2025-03-20.specified_plan_kwh.14:00-14:10,0.0
problem2,key_dates.2025-03-20.specified_plan_kwh.16:00-16:10,511.58245294394857
problem2,key_dates.2025-03-20.specified_plan_kwh.18:00-18:10,697.5926590922619
problem2,key_dates.2025-03-20.specified_plan_kwh.20:00-20:10,0.0
problem2,key_dates.2025-03-20.daily_plan_kwh,70252.17896622722
problem2,key_dates.2025-03-20.daily_normal_cost_yuan,42577.322153153305
problem2,key_dates.2025-03-20.daily_emergency_cost_yuan,0.0
problem2,key_dates.2025-03-20.charge_by_4h_kwh,"[124.84356340101576, 281.56753265879775, 6291.457016666666, 3332.6282648712913, 254.27635228938635, 10562.169705355098]"
problem2,key_dates.2025-03-20.discharge_by_4h_kwh,"[123.5247198893469, 4969.077345964848, 2777.3772166666668, 364.37577262499985, 5711.486021453712, 2940.182295946657]"
problem2,key_dates.2025-03-20.soc_0000_kwh,10800.0
problem2,key_dates.2025-03-20.soc_2400_kwh,10800.0
problem2,key_dates.2025-03-20.selected_alpha,0.75
problem2,key_dates.2025-03-20.emergency_intervals,[]
problem2,key_dates.2025-06-21.specified_plan_kwh.10:00-10:10,0.0
problem2,key_dates.2025-06-21.specified_plan_kwh.12:00-12:10,722.5704104761904
problem2,key_dates.2025-06-21.specified_plan_kwh.14:00-14:10,0.0
problem2,key_dates.2025-06-21.specified_plan_kwh.16:00-16:10,398.7997745238095
problem2,key_dates.2025-06-21.specified_plan_kwh.18:00-18:10,629.7917773214285
problem2,key_dates.2025-06-21.specified_plan_kwh.20:00-20:10,0.0
problem2,key_dates.2025-06-21.daily_plan_kwh,59489.71690727614
problem2,key_dates.2025-06-21.daily_normal_cost_yuan,35665.209863466946
problem2,key_dates.2025-06-21.daily_emergency_cost_yuan,0.0
problem2,key_dates.2025-06-21.charge_by_4h_kwh,"[0.0, 344.4542499999999, 1778.9457088477373, 0.0, 0.0, 8159.103481040561]"
problem2,key_dates.2025-06-21.discharge_by_4h_kwh,"[0.0, 1719.9539666666665, 0.0, 0.0, 4169.906849999999, 2438.9669696428555]"
problem2,key_dates.2025-06-21.soc_0000_kwh,10800.0
problem2,key_dates.2025-06-21.soc_2400_kwh,10800.0
problem2,key_dates.2025-06-21.selected_alpha,0.9
problem2,key_dates.2025-06-21.emergency_intervals,[]
problem2,key_dates.2025-09-23.specified_plan_kwh.10:00-10:10,0.0
problem2,key_dates.2025-09-23.specified_plan_kwh.12:00-12:10,473.50644477813876
problem2,key_dates.2025-09-23.specified_plan_kwh.14:00-14:10,0.0
problem2,key_dates.2025-09-23.specified_plan_kwh.16:00-16:10,541.2828326547618
problem2,key_dates.2025-09-23.specified_plan_kwh.18:00-18:10,803.3441024285714
problem2,key_dates.2025-09-23.specified_plan_kwh.20:00-20:10,17.999046785714427
problem2,key_dates.2025-09-23.daily_plan_kwh,70396.36752835271
problem2,key_dates.2025-09-23.daily_normal_cost_yuan,43941.43840835424
problem2,key_dates.2025-09-23.daily_emergency_cost_yuan,0.0
